dt,secu,M001012
2007-01-31,000001_SZ_EQ,
2007-01-31,000002_SZ_EQ,
2007-01-31,000009_SZ_EQ,
2007-01-31,000039_SZ_EQ,
2007-01-31,000060_SZ_EQ,
2007-01-31,000061_SZ_EQ,
2007-01-31,000063_SZ_EQ,
2007-01-31,000069_SZ_EQ,
2007-01-31,000157_SZ_EQ,
2007-01-31,000402_SZ_EQ,
2007-01-31,000425_SZ_EQ,
2007-01-31,000538_SZ_EQ,
2007-01-31,000568_SZ_EQ,
2007-01-31,000625_SZ_EQ,
2007-01-31,000630_SZ_EQ,
2007-01-31,000651_SZ_EQ,
2007-01-31,000709_SZ_EQ,
2007-01-31,000729_SZ_EQ,
2007-01-31,000768_SZ_EQ,
2007-01-31,000778_SZ_EQ,
2007-01-31,000792_SZ_EQ,
2007-01-31,000800_SZ_EQ,
2007-01-31,000858_SZ_EQ,
2007-01-31,002024_SZ_EQ,
2007-01-31,600000_SH_EQ,
2007-01-31,600009_SH_EQ,
2007-01-31,600010_SH_EQ,
2007-01-31,600015_SH_EQ,
2007-01-31,600016_SH_EQ,
2007-01-31,600019_SH_EQ,
2007-01-31,600028_SH_EQ,
2007-01-31,600029_SH_EQ,
2007-01-31,600030_SH_EQ,
2007-01-31,600031_SH_EQ,
2007-01-31,600036_SH_EQ,
2007-01-31,600048_SH_EQ,
2007-01-31,600050_SH_EQ,
2007-01-31,600066_SH_EQ,
2007-01-31,600068_SH_EQ,
2007-01-31,600085_SH_EQ,
2007-01-31,600100_SH_EQ,
2007-01-31,600104_SH_EQ,
2007-01-31,600118_SH_EQ,
2007-01-31,600150_SH_EQ,
2007-01-31,600153_SH_EQ,
2007-01-31,600170_SH_EQ,
2007-01-31,600177_SH_EQ,
2007-01-31,600188_SH_EQ,
2007-01-31,600196_SH_EQ,
2007-01-31,600221_SH_EQ,
2007-01-31,600256_SH_EQ,
2007-01-31,600271_SH_EQ,
2007-01-31,600309_SH_EQ,
2007-01-31,600362_SH_EQ,
2007-01-31,600383_SH_EQ,
2007-01-31,600415_SH_EQ,
2007-01-31,600489_SH_EQ,
2007-01-31,600519_SH_EQ,
2007-01-31,600547_SH_EQ,
2007-01-31,600583_SH_EQ,
2007-01-31,600585_SH_EQ,
2007-01-31,600600_SH_EQ,
2007-01-31,600642_SH_EQ,
2007-01-31,600649_SH_EQ,
2007-01-31,600660_SH_EQ,
2007-01-31,600690_SH_EQ,
2007-01-31,600739_SH_EQ,
2007-01-31,600741_SH_EQ,
2007-01-31,600795_SH_EQ,
