,name,ascend,sort,stat,code,fd,parent,freq,tb,sdt
5,市盈率LTM,TRUE,1,1,M001007,pe,M001,D,metrics.comm_idx_price_his_a,2008/4/30
9,市净率,TRUE,2,1,M001012,pb,M001,D,metrics.comm_idx_price_his_a,2007/4/30
6,市销率LTM,TRUE,3,1,M001009,ps,M001,D,metrics.comm_idx_price_his_a,2008/4/30
7,市现率LTM,TRUE,4,1,M001010,pcf,M001,D,metrics.comm_idx_price_his_a,2008/4/30
12,相对市盈率,TRUE,8,1,M001015,p.p11,M001,D,metrics.comm_idx_price_his_a,2008/4/30
14,相对市净率,TRUE,9,1,M001017,p.p13,M001,D,metrics.comm_idx_price_his_a,2007/4/30
13,相对市销率,TRUE,10,1,M001016,p.p12,M001,D,metrics.comm_idx_price_his_a,2008/4/30
15,相对市现率,TRUE,11,1,M001018,p.p14,M001,D,metrics.comm_idx_price_his_a,2008/4/30
16,盈利市值比EP,FALSE,12,0,M001019,,M001,D,metrics.comm_idx_price_his_a,2008/4/30
17,净资产市值比BP,FALSE,13,0,M001020,,M001,D,metrics.comm_idx_price_his_a,2008/4/30
19,营业收入市值比SP,FALSE,14,0,M001022,,M001,D,metrics.comm_idx_price_his_a,2008/4/30
18,现金流市值比CFP,FALSE,15,0,M001021,,M001,D,metrics.comm_idx_price_his_a,2008/4/30
0,账面市值比,FALSE,16,1,M001001,p.p1,M001,D,metrics.comm_idx_price_his_a,2007/4/30
1,近1年股息率,FALSE,18,1,M001003,p.p3,M001,D,metrics.comm_idx_price_his_a,2008/4/30
2,近3年股息率,FALSE,19,1,M001004,p.p4,M001,D,metrics.comm_idx_price_his_a,2010/4/30
119,毛利率LTM,FALSE,21,1,M002003L,gpm,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
120,净利率LTM,FALSE,22,1,M002006L,npm,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
112,销售费用率LTM,FALSE,23,1,M002015L,f10,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
110,营业费用率LTM,FALSE,24,1,M002013L,f8,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
111,财务费用率LTM,TRUE,25,1,M002014L,f9,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
113,研发费用率LTM,,26,0,M002018L,f62,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
108,营业利润率LTM,FALSE,27,1,M002005L,f2,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
121,息税前利润率LTM,FALSE,28,1,M002004L,f1,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
123,总资产净利率_平均LTM,FALSE,29,1,M002002L,roaa,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
122,净资产收益率_平均LTM,FALSE,30,1,M002001L,roae,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
109,股利支付率LTM,FALSE,31,0,M002016L,f11,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
127,盈利现金比率LTM,FALSE,32,1,M002009L,f4,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
114,销售现金比率LTM,FALSE,33,1,M002008L,f3,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
124,经营现金流量净额占比LTM,FALSE,34,1,M002010L,f5,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
125,投资现金流量净额占比LTM,FALSE,35,1,M002011L,f6,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
126,筹资现金流量净额占比LTM,TRUE,36,1,M002012L,f7,M002,Q,metrics.comm_idx_quant_his_a,2008/4/30
188,毛利率YTD,FALSE,38,1,M002003Y,gpm,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
189,净利率YTD,FALSE,39,1,M002006Y,npm,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
171,销售费用率YTD,FALSE,40,1,M002015Y,f10,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
169,营业费用率YTD,FALSE,41,1,M002013Y,f8,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
170,财务费用率YTD,TRUE,42,1,M002014Y,f9,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
177,研发费用率YTD,,43,0,M002018Y,f62,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
167,营业利润率YTD,FALSE,44,1,M002005Y,f2,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
190,息税前利润率YTD,FALSE,45,1,M002004Y,f1,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
192,总资产净利率_平均YTD,FALSE,46,1,M002002Y,roaa,M002,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
191,净资产收益率_平均YTD,FALSE,47,1,M002001Y,roae,M002,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
168,股利支付率YTD,FALSE,48,0,M002016Y,f11,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
196,盈利现金比率YTD,FALSE,49,1,M002009Y,f4,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
178,销售现金比率YTD,FALSE,50,1,M002008Y,f3,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
193,经营现金流量净额占比YTD,FALSE,51,1,M002010Y,f5,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
194,投资现金流量净额占比YTD,FALSE,52,1,M002011Y,f6,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
195,筹资现金流量净额占比YTD,TRUE,53,1,M002012Y,f7,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
142,营业总收入_同比增长率LTM,FALSE,54,1,M003028L,revg,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
143,营业总成本_同比增长率LTM,TRUE,55,1,M003029L,f50,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
118,营业利润_同比增长率LTM,FALSE,56,1,M003011L,f20,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
98,利润总额_同比增长率LTM,FALSE,57,1,M003014L,f22,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
115,净利润_同比增长率LTM,FALSE,58,1,M003001L,f12,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
129,归属母公司净利润_同比增长率LTM,FALSE,59,1,M003013L,patmig,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
97,基本每股收益_同比增长率LTM,FALSE,60,1,M003004L,epsg,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
96,EBITDA_同比增长率LTM,FALSE,61,1,M003002L,f13,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
116,毛利率_同比增长率LTM,FALSE,62,0,M003007L,f17,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
117,净利率_同比增长率LTM,FALSE,63,1,M003008L,f18,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
147,营业利润率_同比增长率LTM,FALSE,64,1,M003034L,f55,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
140,总资产净利率（平均）_同比增长率LTM,FALSE,65,1,M003006L,f16,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
139,净资产收益率（平均）_同比增长率LTM,FALSE,66,1,M003005L,f15,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
128,经营现金流量净额_同比增长率LTM,FALSE,67,1,M003012L,opcfg,M003,Q,metrics.comm_idx_quant_his_a,2009/4/30
134,营业总收入_3年复合增长率LTM,FALSE,68,1,M003018L,f26,M003,Q,metrics.comm_idx_quant_his_a,2011/4/30
135,营业总成本_3年复合增长率LTM,TRUE,69,1,M003019L,f27,M003,Q,metrics.comm_idx_quant_his_a,2011/4/30
